Code,Year,Covered by tax instrument in at least one sector
CMR,1998,No carbon tax
CMR,1999,No carbon tax
CMR,2000,No carbon tax
CMR,2001,No carbon tax
CMR,2002,No carbon tax
CMR,2003,No carbon tax
CMR,2004,No carbon tax
CMR,2005,No carbon tax
CMR,2006,No carbon tax
CMR,2007,No carbon tax
CMR,2008,No carbon tax
CMR,2009,No carbon tax
CMR,2010,No carbon tax
CMR,2011,No carbon tax
CMR,2012,No carbon tax
CMR,2013,No carbon tax
CMR,2014,No carbon tax
CMR,2015,No carbon tax
CMR,2016,No carbon tax
CMR,2017,No carbon tax
CMR,2018,No carbon tax
CMR,2019,No carbon tax
CMR,2020,No carbon tax
CMR,2021,No carbon tax
CMR,2022,No carbon tax
CAN,1989,No carbon tax
CAN,1990,No carbon tax
CAN,1991,No carbon tax
CAN,1992,No carbon tax
CAN,1993,No carbon tax
CAN,1994,No carbon tax
CAN,1995,No carbon tax
CAN,1996,No carbon tax
CAN,1997,No carbon tax
CAN,1998,No carbon tax
CAN,1999,No carbon tax
CAN,2000,No carbon tax
CAN,2001,No carbon tax
CAN,2002,No carbon tax
CAN,2003,No carbon tax
CAN,2004,No carbon tax
CAN,2005,No carbon tax
CAN,2006,No carbon tax
CAN,2007,No carbon tax
CAN,2008,Has a carbon tax only at a sub-national level
CAN,2009,Has a carbon tax only at a sub-national level
CAN,2010,Has a carbon tax only at a sub-national level
CAN,2011,Has a carbon tax only at a sub-national level
CAN,2012,Has a carbon tax only at a sub-national level
CAN,2013,Has a carbon tax only at a sub-national level
CAN,2014,Has a carbon tax only at a sub-national level
CAN,2015,Has a carbon tax only at a sub-national level
CAN,2016,Has a carbon tax only at a sub-national level
CAN,2017,Has a carbon tax only at a sub-national level
CAN,2018,Has a carbon tax only at a sub-national level
CAN,2019,Has a carbon tax only at a sub-national level
CAN,2020,Has a carbon tax only at a sub-national level
CAN,2021,Has a carbon tax only at a sub-national level
CAN,2022,Has a carbon tax only at a sub-national level
CPV,1989,No carbon tax
CPV,1990,No carbon tax
CPV,1991,No carbon tax
CPV,1992,No carbon tax
CPV,1993,No carbon tax
CPV,1994,No carbon tax
CPV,1995,No carbon tax
CPV,1996,No carbon tax
CPV,1997,No carbon tax
CPV,1998,No carbon tax
CPV,1999,No carbon tax
CPV,2000,No carbon tax
CPV,2001,No carbon tax
CPV,2002,No carbon tax
CPV,2003,No carbon tax
CPV,2004,No carbon tax
CPV,2005,No carbon tax
CPV,2006,No carbon tax
CPV,2007,No carbon tax
CPV,2008,No carbon tax
CPV,2009,No carbon tax
CPV,2010,No carbon tax
CPV,2011,No carbon tax
CPV,2012,No carbon tax
CPV,2013,No carbon tax
CPV,2014,No carbon tax
CPV,2015,No carbon tax
CPV,2016,No carbon tax
CPV,2017,No carbon tax
CPV,2018,No carbon tax
CPV,2019,No carbon tax
CPV,2020,No carbon tax
CPV,2021,No carbon tax
CPV,2022,No carbon tax
CAF,1989,No carbon tax
CAF,1990,No carbon tax
CAF,1991,No carbon tax
CAF,1992,No carbon tax
CAF,1993,No carbon tax
CAF,1994,No carbon tax
CAF,1995,No carbon tax
CAF,1996,No carbon tax
CAF,1997,No carbon tax
CAF,1998,No carbon tax
CAF,1999,No carbon tax
CAF,2000,No carbon tax
CAF,2001,No carbon tax
CAF,2002,No carbon tax
CAF,2003,No carbon tax
CAF,2004,No carbon tax
CAF,2005,No carbon tax
CAF,2006,No carbon tax
CAF,2007,No carbon tax
CAF,2008,No carbon tax
CAF,2009,No carbon tax
CAF,2010,No carbon tax
CAF,2011,No carbon tax
CAF,2012,No carbon tax
CAF,2013,No carbon tax
CAF,2014,No carbon tax
CAF,2015,No carbon tax
CAF,2016,No carbon tax
CAF,2017,No carbon tax
CAF,2018,No carbon tax
CAF,2019,No carbon tax
CAF,2020,No carbon tax
CAF,2021,No carbon tax
CAF,2022,No carbon tax
TCD,1989,No carbon tax
TCD,1990,No carbon tax
TCD,1991,No carbon tax
TCD,1992,No carbon tax
TCD,1993,No carbon tax
TCD,1994,No carbon tax
TCD,1995,No carbon tax
TCD,1996,No carbon tax
TCD,1997,No carbon tax
TCD,1998,No carbon tax
TCD,1999,No carbon tax
TCD,2000,No carbon tax
TCD,2001,No carbon tax
TCD,2002,No carbon tax
TCD,2003,No carbon tax
TCD,2004,No carbon tax
TCD,2005,No carbon tax
TCD,2006,No carbon tax
TCD,2007,No carbon tax
TCD,2008,No carbon tax
TCD,2009,No carbon tax
TCD,2010,No carbon tax
TCD,2011,No carbon tax
TCD,2012,No carbon tax
TCD,2013,No carbon tax
TCD,2014,No carbon tax
TCD,2015,No carbon tax
TCD,2016,No carbon tax
TCD,2017,No carbon tax
TCD,2018,No carbon tax
TCD,2019,No carbon tax
TCD,2020,No carbon tax
TCD,2021,No carbon tax
TCD,2022,No carbon tax
CHL,1989,No carbon tax
CHL,1990,No carbon tax
CHL,1991,No carbon tax
CHL,1992,No carbon tax
CHL,1993,No carbon tax
CHL,1994,No carbon tax
CHL,1995,No carbon tax
CHL,1996,No carbon tax
CHL,1997,No carbon tax
CHL,1998,No carbon tax
CHL,1999,No carbon tax
CHL,2000,No carbon tax
CHL,2001,No carbon tax
CHL,2002,No carbon tax
CHL,2003,No carbon tax
CHL,2004,No carbon tax
CHL,2005,No carbon tax
CHL,2006,No carbon tax
CHL,2007,No carbon tax
CHL,2008,No carbon tax
CHL,2009,No carbon tax
CHL,2010,No carbon tax
CHL,2011,No carbon tax
CHL,2012,No carbon tax
CHL,2013,No carbon tax
CHL,2014,No carbon tax
CHL,2015,No carbon tax
CHL,2016,No carbon tax
CHL,2017,Has a carbon tax
CHL,2018,Has a carbon tax
CHL,2019,Has a carbon tax
CHL,2020,Has a carbon tax
CHL,2021,Has a carbon tax
CHL,2022,Has a carbon tax
CHN,1989,No carbon tax
CHN,1990,No carbon tax
CHN,1991,No carbon tax
CHN,1992,No carbon tax
CHN,1993,No carbon tax
CHN,1994,No carbon tax
CHN,1995,No carbon tax
CHN,1996,No carbon tax
CHN,1997,No carbon tax
CHN,1998,No carbon tax
CHN,1999,No carbon tax
CHN,2000,No carbon tax
CHN,2001,No carbon tax
CHN,2002,No carbon tax
CHN,2003,No carbon tax
CHN,2004,No carbon tax
CHN,2005,No carbon tax
CHN,2006,No carbon tax
CHN,2007,No carbon tax
CHN,2008,No carbon tax
CHN,2009,No carbon tax
CHN,2010,No carbon tax
CHN,2011,No carbon tax
CHN,2012,No carbon tax
CHN,2013,No carbon tax
CHN,2014,No carbon tax
CHN,2015,No carbon tax
CHN,2016,No carbon tax
CHN,2017,No carbon tax
CHN,2018,No carbon tax
CHN,2019,No carbon tax
CHN,2020,No carbon tax
CHN,2021,No carbon tax
CHN,2022,No carbon tax
COL,1989,No carbon tax
COL,1990,No carbon tax
COL,1991,No carbon tax
COL,1992,No carbon tax
COL,1993,No carbon tax
COL,1994,No carbon tax
COL,1995,No carbon tax
COL,1996,No carbon tax
COL,1997,No carbon tax
COL,1998,No carbon tax
COL,1999,No carbon tax
COL,2000,No carbon tax
COL,2001,No carbon tax
COL,2002,No carbon tax
COL,2003,No carbon tax
COL,2004,No carbon tax
COL,2005,No carbon tax
COL,2006,No carbon tax
COL,2007,No carbon tax
COL,2008,No carbon tax
COL,2009,No carbon tax
COL,2010,No carbon tax
COL,2011,No carbon tax
COL,2012,No carbon tax
COL,2013,No carbon tax
COL,2014,No carbon tax
COL,2015,No carbon tax
COL,2016,No carbon tax
COL,2017,Has a carbon tax
COL,2018,Has a carbon tax
COL,2019,Has a carbon tax
COL,2020,Has a carbon tax
COL,2021,Has a carbon tax
COL,2022,Has a carbon tax
COM,1989,No carbon tax
COM,1990,No carbon tax
COM,1991,No carbon tax
COM,1992,No carbon tax
COM,1993,No carbon tax
COM,1994,No carbon tax
COM,1995,No carbon tax
COM,1996,No carbon tax
COM,1997,No carbon tax
COM,1998,No carbon tax
COM,1999,No carbon tax
COM,2000,No carbon tax
COM,2001,No carbon tax
COM,2002,No carbon tax
COM,2003,No carbon tax
COM,2004,No carbon tax
COM,2005,No carbon tax
COM,2006,No carbon tax
COM,2007,No carbon tax
COM,2008,No carbon tax
COM,2009,No carbon tax
COM,2010,No carbon tax
COM,2011,No carbon tax
COM,2012,No carbon tax
COM,2013,No carbon tax
COM,2014,No carbon tax
COM,2015,No carbon tax
COM,2016,No carbon tax
COM,2017,No carbon tax
COM,2018,No carbon tax
COM,2019,No carbon tax
COM,2020,No carbon tax
COM,2021,No carbon tax
COM,2022,No carbon tax
COG,1989,No carbon tax
COG,1990,No carbon tax
COG,1991,No carbon tax
COG,1992,No carbon tax
COG,1993,No carbon tax
COG,1994,No carbon tax
COG,1995,No carbon tax
COG,1996,No carbon tax
COG,1997,No carbon tax
COG,1998,No carbon tax
COG,1999,No carbon tax
COG,2000,No carbon tax
COG,2001,No carbon tax
COG,2002,No carbon tax
COG,2003,No carbon tax
COG,2004,No carbon tax
COG,2005,No carbon tax
COG,2006,No carbon tax
COG,2007,No carbon tax
COG,2008,No carbon tax
COG,2009,No carbon tax
COG,2010,No carbon tax
COG,2011,No carbon tax
COG,2012,No carbon tax
COG,2013,No carbon tax
COG,2014,No carbon tax
COG,2015,No carbon tax
COG,2016,No carbon tax
COG,2017,No carbon tax
COG,2018,No carbon tax
COG,2019,No carbon tax
COG,2020,No carbon tax
COG,2021,No carbon tax
COG,2022,No carbon tax
CRI,1989,No carbon tax
CRI,1990,No carbon tax
CRI,1991,No carbon tax
CRI,1992,No carbon tax
CRI,1993,No carbon tax
CRI,1994,No carbon tax
CRI,1995,No carbon tax
CRI,1996,No carbon tax
CRI,1997,No carbon tax
CRI,1998,No carbon tax
CRI,1999,No carbon tax
CRI,2000,No carbon tax
CRI,2001,No carbon tax
CRI,2002,No carbon tax
CRI,2003,No carbon tax
CRI,2004,No carbon tax
CRI,2005,No carbon tax
CRI,2006,No carbon tax
CRI,2007,No carbon tax
CRI,2008,No carbon tax
CRI,2009,No carbon tax
CRI,2010,No carbon tax
CRI,2011,No carbon tax
CRI,2012,No carbon tax
CRI,2013,No carbon tax
CRI,2014,No carbon tax
CRI,2015,No carbon tax
CRI,2016,No carbon tax
CRI,2017,No carbon tax
CRI,2018,No carbon tax
CRI,2019,No carbon tax
CRI,2020,No carbon tax
CRI,2021,No carbon tax
CRI,2022,No carbon tax
CIV,1989,No carbon tax
CIV,1990,No carbon tax
CIV,1991,No carbon tax
CIV,1992,No carbon tax
CIV,1993,No carbon tax
CIV,1994,No carbon tax
CIV,1995,No carbon tax
CIV,1996,No carbon tax
CIV,1997,No carbon tax
CIV,1998,No carbon tax
CIV,1999,No carbon tax
CIV,2000,No carbon tax
CIV,2001,No carbon tax
CIV,2002,No carbon tax
CIV,2003,No carbon tax
CIV,2004,No carbon tax
CIV,2005,No carbon tax
CIV,2006,No carbon tax
CIV,2007,No carbon tax
CIV,2008,No carbon tax
CIV,2009,No carbon tax
CIV,2010,No carbon tax
CIV,2011,No carbon tax
CIV,2012,No carbon tax
CIV,2013,No carbon tax
CIV,2014,No carbon tax
CIV,2015,No carbon tax
CIV,2016,No carbon tax
CIV,2017,No carbon tax
CIV,2018,No carbon tax
CIV,2019,No carbon tax
CIV,2020,No carbon tax
CIV,2021,No carbon tax
CIV,2022,No carbon tax
HRV,1989,No carbon tax
HRV,1990,No carbon tax
HRV,1991,No carbon tax
HRV,1992,No carbon tax
HRV,1993,No carbon tax
HRV,1994,No carbon tax
HRV,1995,No carbon tax
HRV,1996,No carbon tax
HRV,1997,No carbon tax
HRV,1998,No carbon tax
HRV,1999,No carbon tax
HRV,2000,No carbon tax
HRV,2001,No carbon tax
HRV,2002,No carbon tax
HRV,2003,No carbon tax
HRV,2004,No carbon tax
HRV,2005,No carbon tax
HRV,2006,No carbon tax
HRV,2007,No carbon tax
HRV,2008,No carbon tax
HRV,2009,No carbon tax
HRV,2010,No carbon tax
HRV,2011,No carbon tax
HRV,2012,No carbon tax
HRV,2013,No carbon tax
HRV,2014,No carbon tax
HRV,2015,No carbon tax
HRV,2016,No carbon tax
HRV,2017,No carbon tax
HRV,2018,No carbon tax
HRV,2019,No carbon tax
HRV,2020,No carbon tax
HRV,2021,No carbon tax
HRV,2022,No carbon tax
CUB,1989,No carbon tax
CUB,1990,No carbon tax
CUB,1991,No carbon tax
CUB,1992,No carbon tax
CUB,1993,No carbon tax
CUB,1994,No carbon tax
CUB,1995,No carbon tax
CUB,1996,No carbon tax
CUB,1997,No carbon tax
CUB,1998,No carbon tax
CUB,1999,No carbon tax
CUB,2000,No carbon tax
CUB,2001,No carbon tax
CUB,2002,No carbon tax
CUB,2003,No carbon tax
CUB,2004,No carbon tax
CUB,2005,No carbon tax
CUB,2006,No carbon tax
CUB,2007,No carbon tax
CUB,2008,No carbon tax
CUB,2009,No carbon tax
CUB,2010,No carbon tax
CUB,2011,No carbon tax
CUB,2012,No carbon tax
CUB,2013,No carbon tax
CUB,2014,No carbon tax
CUB,2015,No carbon tax
CUB,2016,No carbon tax
CUB,2017,No carbon tax
CUB,2018,No carbon tax
CUB,2019,No carbon tax
CUB,2020,No carbon tax
CUB,2021,No carbon tax
CUB,2022,No carbon tax
CYP,1989,No carbon tax
CYP,1990,No carbon tax
CYP,1991,No carbon tax
CYP,1992,No carbon tax
CYP,1993,No carbon tax
CYP,1994,No carbon tax
CYP,1995,No carbon tax
CYP,1996,No carbon tax
CYP,1997,No carbon tax
CYP,1998,No carbon tax
CYP,1999,No carbon tax
CYP,2000,No carbon tax
CYP,2001,No carbon tax
CYP,2002,No carbon tax
CYP,2003,No carbon tax
CYP,2004,No carbon tax
CYP,2005,No carbon tax
CYP,2006,No carbon tax
CYP,2007,No carbon tax
CYP,2008,No carbon tax
CYP,2009,No carbon tax
CYP,2010,No carbon tax
CYP,2011,No carbon tax
CYP,2012,No carbon tax
CYP,2013,No carbon tax
CYP,2014,No carbon tax
CYP,2015,No carbon tax
CYP,2016,No carbon tax
CYP,2017,No carbon tax
CYP,2018,No carbon tax
CYP,2019,No carbon tax
CYP,2020,No carbon tax
CYP,2021,No carbon tax
CYP,2022,No carbon tax
CZE,1989,No carbon tax
CZE,1990,No carbon tax
CZE,1991,No carbon tax
CZE,1992,No carbon tax
CZE,1993,No carbon tax
CZE,1994,No carbon tax
CZE,1995,No carbon tax
CZE,1996,No carbon tax
CZE,1997,No carbon tax
CZE,1998,No carbon tax
CZE,1999,No carbon tax
CZE,2000,No carbon tax
CZE,2001,No carbon tax
CZE,2002,No carbon tax
CZE,2003,No carbon tax
CZE,2004,No carbon tax
CZE,2005,No carbon tax
CZE,2006,No carbon tax
CZE,2007,No carbon tax
CZE,2008,No carbon tax
CZE,2009,No carbon tax
CZE,2010,No carbon tax
CZE,2011,No carbon tax
CZE,2012,No carbon tax
CZE,2013,No carbon tax
CZE,2014,No carbon tax
CZE,2015,No carbon tax
CZE,2016,No carbon tax
CZE,2017,No carbon tax
CZE,2018,No carbon tax
CZE,2019,No carbon tax
CZE,2020,No carbon tax
CZE,2021,No carbon tax
CZE,2022,No carbon tax
COD,1989,No carbon tax
COD,1990,No carbon tax
COD,1991,No carbon tax
COD,1992,No carbon tax
COD,1993,No carbon tax
COD,1994,No carbon tax
COD,1995,No carbon tax
COD,1996,No carbon tax
COD,1997,No carbon tax
COD,1998,No carbon tax
COD,1999,No carbon tax
COD,2000,No carbon tax
COD,2001,No carbon tax
COD,2002,No carbon tax
COD,2003,No carbon tax
COD,2004,No carbon tax
COD,2005,No carbon tax
COD,2006,No carbon tax
COD,2007,No carbon tax
COD,2008,No carbon tax
COD,2009,No carbon tax
COD,2010,No carbon tax
COD,2011,No carbon tax
COD,2012,No carbon tax
COD,2013,No carbon tax
COD,2014,No carbon tax
COD,2015,No carbon tax
COD,2016,No carbon tax
COD,2017,No carbon tax
COD,2018,No carbon tax
COD,2019,No carbon tax
COD,2020,No carbon tax
COD,2021,No carbon tax
COD,2022,No carbon tax
DNK,1989,No carbon tax
DNK,1990,No carbon tax
DNK,1991,No carbon tax
DNK,1992,Has a carbon tax
DNK,1993,Has a carbon tax
DNK,1994,Has a carbon tax
DNK,1995,Has a carbon tax
DNK,1996,Has a carbon tax
DNK,1997,Has a carbon tax
DNK,1998,Has a carbon tax
DNK,1999,Has a carbon tax
DNK,2000,Has a carbon tax
DNK,2001,Has a carbon tax
DNK,2002,Has a carbon tax
DNK,2003,Has a carbon tax
DNK,2004,Has a carbon tax
DNK,2005,Has a carbon tax
DNK,2006,Has a carbon tax
DNK,2007,Has a carbon tax
DNK,2008,Has a carbon tax
DNK,2009,Has a carbon tax
DNK,2010,Has a carbon tax
DNK,2011,Has a carbon tax
DNK,2012,Has a carbon tax
DNK,2013,Has a carbon tax
DNK,2014,Has a carbon tax
DNK,2015,Has a carbon tax
DNK,2016,Has a carbon tax
DNK,2017,Has a carbon tax
DNK,2018,Has a carbon tax
DNK,2019,Has a carbon tax
DNK,2020,Has a carbon tax
DNK,2021,Has a carbon tax
DNK,2022,Has a carbon tax
DJI,1989,No carbon tax
DJI,1990,No carbon tax
DJI,1991,No carbon tax
DJI,1992,No carbon tax
DJI,1993,No carbon tax
DJI,1994,No carbon tax
DJI,1995,No carbon tax
DJI,1996,No carbon tax
DJI,1997,No carbon tax
DJI,1998,No carbon tax
DJI,1999,No carbon tax
DJI,2000,No carbon tax
DJI,2001,No carbon tax
DJI,2002,No carbon tax
DJI,2003,No carbon tax
DJI,2004,No carbon tax
DJI,2005,No carbon tax
DJI,2006,No carbon tax
DJI,2007,No carbon tax
DJI,2008,No carbon tax
DJI,2009,No carbon tax
DJI,2010,No carbon tax
DJI,2011,No carbon tax
DJI,2012,No carbon tax
DJI,2013,No carbon tax
DJI,2014,No carbon tax
DJI,2015,No carbon tax
DJI,2016,No carbon tax
DJI,2017,No carbon tax
DJI,2018,No carbon tax
DJI,2019,No carbon tax
DJI,2020,No carbon tax
DJI,2021,No carbon tax
DJI,2022,No carbon tax
DMA,1989,No carbon tax
DMA,1990,No carbon tax
DMA,1991,No carbon tax
DMA,1992,No carbon tax
DMA,1993,No carbon tax
DMA,1994,No carbon tax
DMA,1995,No carbon tax
DMA,1996,No carbon tax
DMA,1997,No carbon tax
DMA,1998,No carbon tax
DMA,1999,No carbon tax
DMA,2000,No carbon tax
DMA,2001,No carbon tax
DMA,2002,No carbon tax
DMA,2003,No carbon tax
DMA,2004,No carbon tax
DMA,2005,No carbon tax
DMA,2006,No carbon tax
DMA,2007,No carbon tax
DMA,2008,No carbon tax
DMA,2009,No carbon tax
DMA,2010,No carbon tax
DMA,2011,No carbon tax
DMA,2012,No carbon tax
DMA,2013,No carbon tax
DMA,2014,No carbon tax
DMA,2015,No carbon tax
DMA,2016,No carbon tax
DMA,2017,No carbon tax
DMA,2018,No carbon tax
DMA,2019,No carbon tax
DMA,2020,No carbon tax
DMA,2021,No carbon tax
DMA,2022,No carbon tax
DOM,1989,No carbon tax
DOM,1990,No carbon tax
DOM,1991,No carbon tax
DOM,1992,No carbon tax
DOM,1993,No carbon tax
DOM,1994,No carbon tax
DOM,1995,No carbon tax
DOM,1996,No carbon tax
DOM,1997,No carbon tax
DOM,1998,No carbon tax
DOM,1999,No carbon tax
DOM,2000,No carbon tax
DOM,2001,No carbon tax
DOM,2002,No carbon tax
DOM,2003,No carbon tax
DOM,2004,No carbon tax
DOM,2005,No carbon tax
DOM,2006,No carbon tax
DOM,2007,No carbon tax
DOM,2008,No carbon tax
DOM,2009,No carbon tax
DOM,2010,No carbon tax
DOM,2011,No carbon tax
DOM,2012,No carbon tax
DOM,2013,No carbon tax
DOM,2014,No carbon tax
DOM,2015,No carbon tax
DOM,2016,No carbon tax
DOM,2017,No carbon tax
DOM,2018,No carbon tax
DOM,2019,No carbon tax
DOM,2020,No carbon tax
DOM,2021,No carbon tax
DOM,2022,No carbon tax
TLS,1989,No carbon tax
TLS,1990,No carbon tax
TLS,1991,No carbon tax
TLS,1992,No carbon tax
TLS,1993,No carbon tax
TLS,1994,No carbon tax
TLS,1995,No carbon tax
TLS,1996,No carbon tax
TLS,1997,No carbon tax
TLS,1998,No carbon tax
TLS,1999,No carbon tax
TLS,2000,No carbon tax
TLS,2001,No carbon tax
TLS,2002,No carbon tax
TLS,2003,No carbon tax
TLS,2004,No carbon tax
TLS,2005,No carbon tax
TLS,2006,No carbon tax
TLS,2007,No carbon tax
TLS,2008,No carbon tax
TLS,2009,No carbon tax
TLS,2010,No carbon tax
TLS,2011,No carbon tax
TLS,2012,No carbon tax
TLS,2013,No carbon tax
TLS,2014,No carbon tax
TLS,2015,No carbon tax
TLS,2016,No carbon tax
TLS,2017,No carbon tax
TLS,2018,No carbon tax
TLS,2019,No carbon tax
TLS,2020,No carbon tax
TLS,2021,No carbon tax
TLS,2022,No carbon tax
ECU,1989,No carbon tax
ECU,1990,No carbon tax
ECU,1991,No carbon tax
ECU,1992,No carbon tax
ECU,1993,No carbon tax
ECU,1994,No carbon tax
ECU,1995,No carbon tax
ECU,1996,No carbon tax
ECU,1997,No carbon tax
ECU,1998,No carbon tax
ECU,1999,No carbon tax
ECU,2000,No carbon tax
ECU,2001,No carbon tax
ECU,2002,No carbon tax
ECU,2003,No carbon tax
ECU,2004,No carbon tax
ECU,2005,No carbon tax
ECU,2006,No carbon tax
ECU,2007,No carbon tax
ECU,2008,No carbon tax
ECU,2009,No carbon tax
ECU,2010,No carbon tax
ECU,2011,No carbon tax
ECU,2012,No carbon tax
ECU,2013,No carbon tax
ECU,2014,No carbon tax
ECU,2015,No carbon tax
ECU,2016,No carbon tax
ECU,2017,No carbon tax
ECU,2018,No carbon tax
ECU,2019,No carbon tax
ECU,2020,No carbon tax
ECU,2021,No carbon tax
ECU,2022,No carbon tax
EGY,1989,No carbon tax
EGY,1990,No carbon tax
EGY,1991,No carbon tax
EGY,1992,No carbon tax
EGY,1993,No carbon tax
EGY,1994,No carbon tax
EGY,1995,No carbon tax
EGY,1996,No carbon tax
EGY,1997,No carbon tax
EGY,1998,No carbon tax
EGY,1999,No carbon tax
EGY,2000,No carbon tax
EGY,2001,No carbon tax
EGY,2002,No carbon tax
EGY,2003,No carbon tax
EGY,2004,No carbon tax
EGY,2005,No carbon tax
EGY,2006,No carbon tax
EGY,2007,No carbon tax
EGY,2008,No carbon tax
EGY,2009,No carbon tax
EGY,2010,No carbon tax
EGY,2011,No carbon tax
EGY,2012,No carbon tax
EGY,2013,No carbon tax
EGY,2014,No carbon tax
EGY,2015,No carbon tax
EGY,2016,No carbon tax
EGY,2017,No carbon tax
EGY,2018,No carbon tax
EGY,2019,No carbon tax
EGY,2020,No carbon tax
EGY,2021,No carbon tax
EGY,2022,No carbon tax
SLV,1989,No carbon tax
SLV,1990,No carbon tax
SLV,1991,No carbon tax
SLV,1992,No carbon tax
SLV,1993,No carbon tax
SLV,1994,No carbon tax
SLV,1995,No carbon tax
SLV,1996,No carbon tax
SLV,1997,No carbon tax
SLV,1998,No carbon tax
SLV,1999,No carbon tax
SLV,2000,No carbon tax
SLV,2001,No carbon tax
SLV,2002,No carbon tax
SLV,2003,No carbon tax
SLV,2004,No carbon tax
SLV,2005,No carbon tax
SLV,2006,No carbon tax
SLV,2007,No carbon tax
SLV,2008,No carbon tax
SLV,2009,No carbon tax
SLV,2010,No carbon tax
SLV,2011,No carbon tax
SLV,2012,No carbon tax
SLV,2013,No carbon tax
SLV,2014,No carbon tax
SLV,2015,No carbon tax
SLV,2016,No carbon tax
SLV,2017,No carbon tax
SLV,2018,No carbon tax
SLV,2019,No carbon tax
SLV,2020,No carbon tax
SLV,2021,No carbon tax
SLV,2022,No carbon tax
GNQ,1989,No carbon tax
GNQ,1990,No carbon tax
GNQ,1991,No carbon tax
GNQ,1992,No carbon tax
GNQ,1993,No carbon tax
GNQ,1994,No carbon tax
GNQ,1995,No carbon tax
GNQ,1996,No carbon tax
GNQ,1997,No carbon tax
GNQ,1998,No carbon tax
GNQ,1999,No carbon tax
GNQ,2000,No carbon tax
GNQ,2001,No carbon tax
GNQ,2002,No carbon tax
GNQ,2003,No carbon tax
GNQ,2004,No carbon tax
GNQ,2005,No carbon tax
GNQ,2006,No carbon tax
GNQ,2007,No carbon tax
GNQ,2008,No carbon tax
GNQ,2009,No carbon tax
GNQ,2010,No carbon tax
GNQ,2011,No carbon tax
GNQ,2012,No carbon tax
GNQ,2013,No carbon tax
GNQ,2014,No carbon tax
GNQ,2015,No carbon tax
GNQ,2016,No carbon tax
GNQ,2017,No carbon tax
GNQ,2018,No carbon tax
GNQ,2019,No carbon tax
GNQ,2020,No carbon tax
GNQ,2021,No carbon tax
GNQ,2022,No carbon tax
ERI,1989,No carbon tax
ERI,1990,No carbon tax
ERI,1991,No carbon tax
ERI,1992,No carbon tax
ERI,1993,No carbon tax
ERI,1994,No carbon tax
ERI,1995,No carbon tax
ERI,1996,No carbon tax
ERI,1997,No carbon tax
ERI,1998,No carbon tax
ERI,1999,No carbon tax
ERI,2000,No carbon tax
ERI,2001,No carbon tax
ERI,2002,No carbon tax
ERI,2003,No carbon tax
ERI,2004,No carbon tax
ERI,2005,No carbon tax
ERI,2006,No carbon tax
ERI,2007,No carbon tax
ERI,2008,No carbon tax
ERI,2009,No carbon tax
ERI,2010,No carbon tax
ERI,2011,No carbon tax
ERI,2012,No carbon tax
ERI,2013,No carbon tax
ERI,2014,No carbon tax
ERI,2015,No carbon tax
ERI,2016,No carbon tax
ERI,2017,No carbon tax
ERI,2018,No carbon tax
ERI,2019,No carbon tax
ERI,2020,No carbon tax
ERI,2021,No carbon tax
ERI,2022,No carbon tax
EST,1989,No carbon tax
EST,1990,No carbon tax
EST,1991,No carbon tax
EST,1992,No carbon tax
EST,1993,No carbon tax
EST,1994,No carbon tax
EST,1995,No carbon tax
EST,1996,No carbon tax
EST,1997,No carbon tax
EST,1998,No carbon tax
EST,1999,No carbon tax
EST,2000,Has a carbon tax
EST,2001,Has a carbon tax
EST,2002,Has a carbon tax
EST,2003,Has a carbon tax
EST,2004,Has a carbon tax
EST,2005,Has a carbon tax
EST,2006,Has a carbon tax
EST,2007,Has a carbon tax
EST,2008,Has a carbon tax
EST,2009,Has a carbon tax
EST,2010,Has a carbon tax
EST,2011,Has a carbon tax
EST,2012,Has a carbon tax
EST,2013,Has a carbon tax
EST,2014,Has a carbon tax
EST,2015,Has a carbon tax
EST,2016,Has a carbon tax
EST,2017,Has a carbon tax
EST,2018,Has a carbon tax
EST,2019,Has a carbon tax
EST,2020,Has a carbon tax
EST,2021,Has a carbon tax
EST,2022,Has a carbon tax
SWZ,1989,No carbon tax
SWZ,1990,No carbon tax
SWZ,1991,No carbon tax
SWZ,1992,No carbon tax
SWZ,1993,No carbon tax
SWZ,1994,No carbon tax
SWZ,1995,No carbon tax
SWZ,1996,No carbon tax
SWZ,1997,No carbon tax
SWZ,1998,No carbon tax
SWZ,1999,No carbon tax
SWZ,2000,No carbon tax
SWZ,2001,No carbon tax
SWZ,2002,No carbon tax
SWZ,2003,No carbon tax
SWZ,2004,No carbon tax
SWZ,2005,No carbon tax
SWZ,2006,No carbon tax
SWZ,2007,No carbon tax
SWZ,2008,No carbon tax
SWZ,2009,No carbon tax
SWZ,2010,No carbon tax
SWZ,2011,No carbon tax
SWZ,2012,No carbon tax
SWZ,2013,No carbon tax
SWZ,2014,No carbon tax
SWZ,2015,No carbon tax
SWZ,2016,No carbon tax
SWZ,2017,No carbon tax
SWZ,2018,No carbon tax
SWZ,2019,No carbon tax
SWZ,2020,No carbon tax
SWZ,2021,No carbon tax
SWZ,2022,No carbon tax
ETH,1989,No carbon tax
ETH,1990,No carbon tax
ETH,1991,No carbon tax
ETH,1992,No carbon tax
ETH,1993,No carbon tax
ETH,1994,No carbon tax
ETH,1995,No carbon tax
ETH,1996,No carbon tax
