Code,Year,Renewable Energy Patent
GBR,2005,644
GBR,2006,783
GBR,2007,1013
GBR,2008,1317
GBR,2009,1348
GBR,2010,1445
GBR,2011,1356
GBR,2012,1479
GBR,2013,1388
GBR,2014,1345
GBR,2015,1353
GBR,2016,1142
GBR,2017,1216
GBR,2018,1346
GBR,2019,1200
GBR,2020,773
GBR,2021,74
USA,2000,4993
USA,2001,6579
USA,2002,7228
USA,2003,8185
USA,2004,9644
USA,2005,11763
USA,2006,12825
USA,2007,15230
USA,2008,17567
USA,2009,20556
USA,2010,26197
USA,2011,30501
USA,2012,31219
USA,2013,30511
USA,2014,30539
USA,2015,30108
USA,2016,30124
USA,2017,31434
USA,2018,31222
USA,2019,30930
USA,2020,19088
USA,2021,6950
,2000,3539
,2001,4233
,2002,5111
,2003,6171
,2004,7620
,2005,10092
,2006,14944
,2007,19171
,2008,24169
,2009,31565
,2010,41712
,2011,51056
,2012,55777
,2013,53599
,2014,58281
,2015,70218
,2016,95624
,2017,121813
,2018,136790
,2019,147660
,2020,163738
,2021,49162
URY,2000,1
URY,2001,2
URY,2002,2
URY,2003,1
URY,2004,3
URY,2005,8
URY,2006,7
URY,2007,12
URY,2008,14
URY,2009,9
URY,2010,17
URY,2011,27
URY,2012,32
URY,2013,10
URY,2014,9
URY,2015,42
URY,2016,32
URY,2017,7
URY,2018,5
URY,2019,23
URY,2020,10
VNM,2010,2
OWID_WRL,2000,35122
OWID_WRL,2001,38829
OWID_WRL,2002,41604
OWID_WRL,2003,46493
OWID_WRL,2004,49115
OWID_WRL,2005,56388
OWID_WRL,2006,67172
OWID_WRL,2007,78873
OWID_WRL,2008,92727
OWID_WRL,2009,111564
OWID_WRL,2010,136916
OWID_WRL,2011,158899
OWID_WRL,2012,166132
OWID_WRL,2013,154216
OWID_WRL,2014,157333
OWID_WRL,2015,162689
OWID_WRL,2016,187965
OWID_WRL,2017,215065
OWID_WRL,2018,233446
OWID_WRL,2019,237896
OWID_WRL,2020,209520
OWID_WRL,2021,61790
