Code,Year,Covered by emissions trading system in at least one sector
TCD,2007,No ETS
TCD,2008,No ETS
TCD,2009,No ETS
TCD,2010,No ETS
TCD,2011,No ETS
TCD,2012,No ETS
TCD,2013,No ETS
TCD,2014,No ETS
TCD,2015,No ETS
TCD,2016,No ETS
TCD,2017,No ETS
TCD,2018,No ETS
TCD,2019,No ETS
TCD,2020,No ETS
TCD,2021,No ETS
TCD,2022,No ETS
CHL,1989,No ETS
CHL,1990,No ETS
CHL,1991,No ETS
CHL,1992,No ETS
CHL,1993,No ETS
CHL,1994,No ETS
CHL,1995,No ETS
CHL,1996,No ETS
CHL,1997,No ETS
CHL,1998,No ETS
CHL,1999,No ETS
CHL,2000,No ETS
CHL,2001,No ETS
CHL,2002,No ETS
CHL,2003,No ETS
CHL,2004,No ETS
CHL,2005,No ETS
CHL,2006,No ETS
CHL,2007,No ETS
CHL,2008,No ETS
CHL,2009,No ETS
CHL,2010,No ETS
CHL,2011,No ETS
CHL,2012,No ETS
CHL,2013,No ETS
CHL,2014,No ETS
CHL,2015,No ETS
CHL,2016,No ETS
CHL,2017,No ETS
CHL,2018,No ETS
CHL,2019,No ETS
CHL,2020,No ETS
CHL,2021,No ETS
CHL,2022,No ETS
CHN,1989,No ETS
CHN,1990,No ETS
CHN,1991,No ETS
CHN,1992,No ETS
CHN,1993,No ETS
CHN,1994,No ETS
CHN,1995,No ETS
CHN,1996,No ETS
CHN,1997,No ETS
CHN,1998,No ETS
CHN,1999,No ETS
CHN,2000,No ETS
CHN,2001,No ETS
CHN,2002,No ETS
CHN,2003,No ETS
CHN,2004,No ETS
CHN,2005,No ETS
CHN,2006,No ETS
CHN,2007,No ETS
CHN,2008,No ETS
CHN,2009,No ETS
CHN,2010,No ETS
CHN,2011,No ETS
CHN,2012,No ETS
CHN,2013,Has an ETS only at a sub-national level
CHN,2014,Has an ETS only at a sub-national level
CHN,2015,Has an ETS only at a sub-national level
CHN,2016,Has an ETS only at a sub-national level
CHN,2017,Has an ETS only at a sub-national level
CHN,2018,Has an ETS only at a sub-national level
CHN,2019,Has an ETS only at a sub-national level
CHN,2020,Has an ETS only at a sub-national level
CHN,2021,Has an ETS
CHN,2022,Has an ETS
COL,1989,No ETS
COL,1990,No ETS
COL,1991,No ETS
COL,1992,No ETS
COL,1993,No ETS
COL,1994,No ETS
COL,1995,No ETS
COL,1996,No ETS
COL,1997,No ETS
COL,1998,No ETS
COL,1999,No ETS
COL,2000,No ETS
COL,2001,No ETS
COL,2002,No ETS
COL,2003,No ETS
COL,2004,No ETS
COL,2005,No ETS
COL,2006,No ETS
COL,2007,No ETS
COL,2008,No ETS
COL,2009,No ETS
COL,2010,No ETS
COL,2011,No ETS
COL,2012,No ETS
COL,2013,No ETS
COL,2014,No ETS
COL,2015,No ETS
COL,2016,No ETS
COL,2017,No ETS
COL,2018,No ETS
COL,2019,No ETS
COL,2020,No ETS
COL,2021,No ETS
COL,2022,No ETS
COM,1989,No ETS
COM,1990,No ETS
COM,1991,No ETS
COM,1992,No ETS
COM,1993,No ETS
COM,1994,No ETS
COM,1995,No ETS
COM,1996,No ETS
COM,1997,No ETS
COM,1998,No ETS
COM,1999,No ETS
COM,2000,No ETS
COM,2001,No ETS
COM,2002,No ETS
COM,2003,No ETS
COM,2004,No ETS
COM,2005,No ETS
COM,2006,No ETS
COM,2007,No ETS
COM,2008,No ETS
COM,2009,No ETS
COM,2010,No ETS
COM,2011,No ETS
COM,2012,No ETS
COM,2013,No ETS
COM,2014,No ETS
COM,2015,No ETS
COM,2016,No ETS
COM,2017,No ETS
COM,2018,No ETS
COM,2019,No ETS
COM,2020,No ETS
COM,2021,No ETS
COM,2022,No ETS
COG,1989,No ETS
COG,1990,No ETS
COG,1991,No ETS
COG,1992,No ETS
COG,1993,No ETS
COG,1994,No ETS
COG,1995,No ETS
COG,1996,No ETS
COG,1997,No ETS
COG,1998,No ETS
COG,1999,No ETS
COG,2000,No ETS
COG,2001,No ETS
COG,2002,No ETS
COG,2003,No ETS
COG,2004,No ETS
COG,2005,No ETS
COG,2006,No ETS
COG,2007,No ETS
COG,2008,No ETS
COG,2009,No ETS
COG,2010,No ETS
COG,2011,No ETS
COG,2012,No ETS
COG,2013,No ETS
COG,2014,No ETS
COG,2015,No ETS
COG,2016,No ETS
COG,2017,No ETS
COG,2018,No ETS
COG,2019,No ETS
COG,2020,No ETS
COG,2021,No ETS
COG,2022,No ETS
CRI,1989,No ETS
CRI,1990,No ETS
CRI,1991,No ETS
CRI,1992,No ETS
CRI,1993,No ETS
CRI,1994,No ETS
CRI,1995,No ETS
CRI,1996,No ETS
CRI,1997,No ETS
CRI,1998,No ETS
CRI,1999,No ETS
CRI,2000,No ETS
CRI,2001,No ETS
CRI,2002,No ETS
CRI,2003,No ETS
CRI,2004,No ETS
CRI,2005,No ETS
CRI,2006,No ETS
CRI,2007,No ETS
CRI,2008,No ETS
CRI,2009,No ETS
CRI,2010,No ETS
CRI,2011,No ETS
CRI,2012,No ETS
CRI,2013,No ETS
CRI,2014,No ETS
CRI,2015,No ETS
CRI,2016,No ETS
CRI,2017,No ETS
CRI,2018,No ETS
CRI,2019,No ETS
CRI,2020,No ETS
CRI,2021,No ETS
CRI,2022,No ETS
CIV,1989,No ETS
CIV,1990,No ETS
CIV,1991,No ETS
CIV,1992,No ETS
CIV,1993,No ETS
CIV,1994,No ETS
CIV,1995,No ETS
CIV,1996,No ETS
CIV,1997,No ETS
CIV,1998,No ETS
CIV,1999,No ETS
CIV,2000,No ETS
CIV,2001,No ETS
CIV,2002,No ETS
CIV,2003,No ETS
CIV,2004,No ETS
CIV,2005,No ETS
CIV,2006,No ETS
CIV,2007,No ETS
CIV,2008,No ETS
CIV,2009,No ETS
CIV,2010,No ETS
CIV,2011,No ETS
CIV,2012,No ETS
CIV,2013,No ETS
CIV,2014,No ETS
CIV,2015,No ETS
CIV,2016,No ETS
CIV,2017,No ETS
CIV,2018,No ETS
CIV,2019,No ETS
CIV,2020,No ETS
CIV,2021,No ETS
CIV,2022,No ETS
HRV,1989,No ETS
HRV,1990,No ETS
HRV,1991,No ETS
HRV,1992,No ETS
HRV,1993,No ETS
HRV,1994,No ETS
HRV,1995,No ETS
HRV,1996,No ETS
HRV,1997,No ETS
HRV,1998,No ETS
HRV,1999,No ETS
HRV,2000,No ETS
HRV,2001,No ETS
HRV,2002,No ETS
HRV,2003,No ETS
HRV,2004,No ETS
HRV,2005,No ETS
HRV,2006,No ETS
HRV,2007,No ETS
HRV,2008,No ETS
HRV,2009,No ETS
HRV,2010,No ETS
HRV,2011,No ETS
HRV,2012,No ETS
HRV,2013,Has an ETS
HRV,2014,Has an ETS
HRV,2015,Has an ETS
HRV,2016,Has an ETS
HRV,2017,Has an ETS
HRV,2018,Has an ETS
HRV,2019,Has an ETS
HRV,2020,Has an ETS
HRV,2021,Has an ETS
HRV,2022,Has an ETS
CUB,1989,No ETS
CUB,1990,No ETS
CUB,1991,No ETS
CUB,1992,No ETS
CUB,1993,No ETS
CUB,1994,No ETS
CUB,1995,No ETS
CUB,1996,No ETS
CUB,1997,No ETS
CUB,1998,No ETS
CUB,1999,No ETS
CUB,2000,No ETS
CUB,2001,No ETS
CUB,2002,No ETS
CUB,2003,No ETS
CUB,2004,No ETS
CUB,2005,No ETS
CUB,2006,No ETS
CUB,2007,No ETS
CUB,2008,No ETS
CUB,2009,No ETS
CUB,2010,No ETS
CUB,2011,No ETS
CUB,2012,No ETS
CUB,2013,No ETS
CUB,2014,No ETS
CUB,2015,No ETS
CUB,2016,No ETS
CUB,2017,No ETS
CUB,2018,No ETS
CUB,2019,No ETS
CUB,2020,No ETS
CUB,2021,No ETS
CUB,2022,No ETS
CYP,1989,No ETS
CYP,1990,No ETS
CYP,1991,No ETS
CYP,1992,No ETS
CYP,1993,No ETS
CYP,1994,No ETS
CYP,1995,No ETS
CYP,1996,No ETS
CYP,1997,No ETS
CYP,1998,No ETS
CYP,1999,No ETS
CYP,2000,No ETS
CYP,2001,No ETS
CYP,2002,No ETS
CYP,2003,No ETS
CYP,2004,No ETS
CYP,2005,Has an ETS
CYP,2006,Has an ETS
CYP,2007,Has an ETS
CYP,2008,Has an ETS
CYP,2009,Has an ETS
CYP,2010,Has an ETS
CYP,2011,Has an ETS
CYP,2012,Has an ETS
CYP,2013,Has an ETS
CYP,2014,Has an ETS
CYP,2015,Has an ETS
CYP,2016,Has an ETS
CYP,2017,Has an ETS
CYP,2018,Has an ETS
CYP,2019,Has an ETS
CYP,2020,Has an ETS
CYP,2021,Has an ETS
CYP,2022,Has an ETS
CZE,1989,No ETS
CZE,1990,No ETS
CZE,1991,No ETS
CZE,1992,No ETS
CZE,1993,No ETS
CZE,1994,No ETS
CZE,1995,No ETS
CZE,1996,No ETS
CZE,1997,No ETS
CZE,1998,No ETS
CZE,1999,No ETS
CZE,2000,No ETS
CZE,2001,No ETS
CZE,2002,No ETS
CZE,2003,No ETS
CZE,2004,No ETS
CZE,2005,Has an ETS
CZE,2006,Has an ETS
CZE,2007,Has an ETS
CZE,2008,Has an ETS
CZE,2009,Has an ETS
CZE,2010,Has an ETS
CZE,2011,Has an ETS
CZE,2012,Has an ETS
CZE,2013,Has an ETS
CZE,2014,Has an ETS
CZE,2015,Has an ETS
CZE,2016,Has an ETS
CZE,2017,Has an ETS
CZE,2018,Has an ETS
CZE,2019,Has an ETS
CZE,2020,Has an ETS
CZE,2021,Has an ETS
CZE,2022,Has an ETS
COD,1989,No ETS
COD,1990,No ETS
COD,1991,No ETS
COD,1992,No ETS
COD,1993,No ETS
COD,1994,No ETS
COD,1995,No ETS
COD,1996,No ETS
COD,1997,No ETS
COD,1998,No ETS
COD,1999,No ETS
COD,2000,No ETS
COD,2001,No ETS
COD,2002,No ETS
COD,2003,No ETS
COD,2004,No ETS
COD,2005,No ETS
COD,2006,No ETS
COD,2007,No ETS
COD,2008,No ETS
COD,2009,No ETS
COD,2010,No ETS
COD,2011,No ETS
COD,2012,No ETS
COD,2013,No ETS
COD,2014,No ETS
COD,2015,No ETS
COD,2016,No ETS
COD,2017,No ETS
COD,2018,No ETS
COD,2019,No ETS
COD,2020,No ETS
COD,2021,No ETS
COD,2022,No ETS
DNK,1989,No ETS
DNK,1990,No ETS
DNK,1991,No ETS
DNK,1992,No ETS
DNK,1993,No ETS
DNK,1994,No ETS
DNK,1995,No ETS
DNK,1996,No ETS
DNK,1997,No ETS
DNK,1998,No ETS
DNK,1999,No ETS
DNK,2000,No ETS
DNK,2001,No ETS
DNK,2002,No ETS
DNK,2003,No ETS
DNK,2004,No ETS
DNK,2005,Has an ETS
DNK,2006,Has an ETS
DNK,2007,Has an ETS
DNK,2008,Has an ETS
DNK,2009,Has an ETS
DNK,2010,Has an ETS
DNK,2011,Has an ETS
DNK,2012,Has an ETS
DNK,2013,Has an ETS
DNK,2014,Has an ETS
DNK,2015,Has an ETS
DNK,2016,Has an ETS
DNK,2017,Has an ETS
DNK,2018,Has an ETS
DNK,2019,Has an ETS
DNK,2020,Has an ETS
DNK,2021,Has an ETS
DNK,2022,Has an ETS
DJI,1989,No ETS
DJI,1990,No ETS
DJI,1991,No ETS
DJI,1992,No ETS
DJI,1993,No ETS
DJI,1994,No ETS
DJI,1995,No ETS
DJI,1996,No ETS
DJI,1997,No ETS
DJI,1998,No ETS
DJI,1999,No ETS
DJI,2000,No ETS
DJI,2001,No ETS
DJI,2002,No ETS
DJI,2003,No ETS
DJI,2004,No ETS
DJI,2005,No ETS
DJI,2006,No ETS
DJI,2007,No ETS
DJI,2008,No ETS
DJI,2009,No ETS
DJI,2010,No ETS
DJI,2011,No ETS
DJI,2012,No ETS
DJI,2013,No ETS
DJI,2014,No ETS
DJI,2015,No ETS
DJI,2016,No ETS
DJI,2017,No ETS
DJI,2018,No ETS
DJI,2019,No ETS
DJI,2020,No ETS
DJI,2021,No ETS
DJI,2022,No ETS
DMA,1989,No ETS
DMA,1990,No ETS
DMA,1991,No ETS
DMA,1992,No ETS
DMA,1993,No ETS
DMA,1994,No ETS
DMA,1995,No ETS
DMA,1996,No ETS
DMA,1997,No ETS
DMA,1998,No ETS
DMA,1999,No ETS
DMA,2000,No ETS
DMA,2001,No ETS
DMA,2002,No ETS
DMA,2003,No ETS
DMA,2004,No ETS
DMA,2005,No ETS
DMA,2006,No ETS
DMA,2007,No ETS
DMA,2008,No ETS
DMA,2009,No ETS
DMA,2010,No ETS
DMA,2011,No ETS
DMA,2012,No ETS
DMA,2013,No ETS
DMA,2014,No ETS
DMA,2015,No ETS
DMA,2016,No ETS
DMA,2017,No ETS
DMA,2018,No ETS
DMA,2019,No ETS
DMA,2020,No ETS
DMA,2021,No ETS
DMA,2022,No ETS
DOM,1989,No ETS
DOM,1990,No ETS
DOM,1991,No ETS
DOM,1992,No ETS
DOM,1993,No ETS
DOM,1994,No ETS
DOM,1995,No ETS
DOM,1996,No ETS
DOM,1997,No ETS
DOM,1998,No ETS
DOM,1999,No ETS
DOM,2000,No ETS
DOM,2001,No ETS
DOM,2002,No ETS
DOM,2003,No ETS
DOM,2004,No ETS
DOM,2005,No ETS
DOM,2006,No ETS
DOM,2007,No ETS
DOM,2008,No ETS
DOM,2009,No ETS
DOM,2010,No ETS
DOM,2011,No ETS
DOM,2012,No ETS
DOM,2013,No ETS
DOM,2014,No ETS
DOM,2015,No ETS
DOM,2016,No ETS
DOM,2017,No ETS
DOM,2018,No ETS
DOM,2019,No ETS
DOM,2020,No ETS
DOM,2021,No ETS
DOM,2022,No ETS
TLS,1989,No ETS
TLS,1990,No ETS
TLS,1991,No ETS
TLS,1992,No ETS
TLS,1993,No ETS
TLS,1994,No ETS
TLS,1995,No ETS
TLS,1996,No ETS
TLS,1997,No ETS
TLS,1998,No ETS
TLS,1999,No ETS
TLS,2000,No ETS
TLS,2001,No ETS
TLS,2002,No ETS
TLS,2003,No ETS
TLS,2004,No ETS
TLS,2005,No ETS
TLS,2006,No ETS
TLS,2007,No ETS
TLS,2008,No ETS
TLS,2009,No ETS
TLS,2010,No ETS
TLS,2011,No ETS
TLS,2012,No ETS
TLS,2013,No ETS
TLS,2014,No ETS
TLS,2015,No ETS
TLS,2016,No ETS
TLS,2017,No ETS
TLS,2018,No ETS
TLS,2019,No ETS
TLS,2020,No ETS
TLS,2021,No ETS
TLS,2022,No ETS
ECU,1989,No ETS
ECU,1990,No ETS
ECU,1991,No ETS
ECU,1992,No ETS
ECU,1993,No ETS
ECU,1994,No ETS
ECU,1995,No ETS
ECU,1996,No ETS
ECU,1997,No ETS
ECU,1998,No ETS
ECU,1999,No ETS
ECU,2000,No ETS
ECU,2001,No ETS
ECU,2002,No ETS
ECU,2003,No ETS
ECU,2004,No ETS
ECU,2005,No ETS
ECU,2006,No ETS
ECU,2007,No ETS
ECU,2008,No ETS
ECU,2009,No ETS
ECU,2010,No ETS
ECU,2011,No ETS
ECU,2012,No ETS
ECU,2013,No ETS
ECU,2014,No ETS
ECU,2015,No ETS
ECU,2016,No ETS
ECU,2017,No ETS
ECU,2018,No ETS
ECU,2019,No ETS
ECU,2020,No ETS
ECU,2021,No ETS
ECU,2022,No ETS
EGY,1989,No ETS
EGY,1990,No ETS
EGY,1991,No ETS
EGY,1992,No ETS
EGY,1993,No ETS
EGY,1994,No ETS
EGY,1995,No ETS
EGY,1996,No ETS
EGY,1997,No ETS
EGY,1998,No ETS
EGY,1999,No ETS
EGY,2000,No ETS
EGY,2001,No ETS
EGY,2002,No ETS
EGY,2003,No ETS
EGY,2004,No ETS
EGY,2005,No ETS
EGY,2006,No ETS
EGY,2007,No ETS
EGY,2008,No ETS
EGY,2009,No ETS
EGY,2010,No ETS
EGY,2011,No ETS
EGY,2012,No ETS
EGY,2013,No ETS
EGY,2014,No ETS
EGY,2015,No ETS
EGY,2016,No ETS
EGY,2017,No ETS
EGY,2018,No ETS
EGY,2019,No ETS
EGY,2020,No ETS
EGY,2021,No ETS
EGY,2022,No ETS
SLV,1989,No ETS
SLV,1990,No ETS
SLV,1991,No ETS
SLV,1992,No ETS
SLV,1993,No ETS
SLV,1994,No ETS
SLV,1995,No ETS
SLV,1996,No ETS
SLV,1997,No ETS
SLV,1998,No ETS
SLV,1999,No ETS
SLV,2000,No ETS
SLV,2001,No ETS
SLV,2002,No ETS
SLV,2003,No ETS
SLV,2004,No ETS
SLV,2005,No ETS
SLV,2006,No ETS
SLV,2007,No ETS
SLV,2008,No ETS
SLV,2009,No ETS
SLV,2010,No ETS
SLV,2011,No ETS
SLV,2012,No ETS
SLV,2013,No ETS
SLV,2014,No ETS
SLV,2015,No ETS
SLV,2016,No ETS
SLV,2017,No ETS
SLV,2018,No ETS
SLV,2019,No ETS
SLV,2020,No ETS
SLV,2021,No ETS
SLV,2022,No ETS
GNQ,1989,No ETS
GNQ,1990,No ETS
GNQ,1991,No ETS
GNQ,1992,No ETS
GNQ,1993,No ETS
GNQ,1994,No ETS
GNQ,1995,No ETS
GNQ,1996,No ETS
GNQ,1997,No ETS
GNQ,1998,No ETS
GNQ,1999,No ETS
GNQ,2000,No ETS
GNQ,2001,No ETS
GNQ,2002,No ETS
GNQ,2003,No ETS
GNQ,2004,No ETS
GNQ,2005,No ETS
GNQ,2006,No ETS
GNQ,2007,No ETS
GNQ,2008,No ETS
GNQ,2009,No ETS
GNQ,2010,No ETS
GNQ,2011,No ETS
GNQ,2012,No ETS
GNQ,2013,No ETS
GNQ,2014,No ETS
GNQ,2015,No ETS
GNQ,2016,No ETS
GNQ,2017,No ETS
GNQ,2018,No ETS
GNQ,2019,No ETS
GNQ,2020,No ETS
GNQ,2021,No ETS
GNQ,2022,No ETS
ERI,1989,No ETS
ERI,1990,No ETS
ERI,1991,No ETS
ERI,1992,No ETS
ERI,1993,No ETS
ERI,1994,No ETS
ERI,1995,No ETS
ERI,1996,No ETS
ERI,1997,No ETS
ERI,1998,No ETS
ERI,1999,No ETS
ERI,2000,No ETS
ERI,2001,No ETS
ERI,2002,No ETS
ERI,2003,No ETS
ERI,2004,No ETS
ERI,2005,No ETS
ERI,2006,No ETS
ERI,2007,No ETS
ERI,2008,No ETS
ERI,2009,No ETS
ERI,2010,No ETS
ERI,2011,No ETS
ERI,2012,No ETS
ERI,2013,No ETS
ERI,2014,No ETS
ERI,2015,No ETS
ERI,2016,No ETS
ERI,2017,No ETS
ERI,2018,No ETS
ERI,2019,No ETS
ERI,2020,No ETS
ERI,2021,No ETS
ERI,2022,No ETS
EST,1989,No ETS
EST,1990,No ETS
EST,1991,No ETS
EST,1992,No ETS
EST,1993,No ETS
EST,1994,No ETS
EST,1995,No ETS
EST,1996,No ETS
EST,1997,No ETS
EST,1998,No ETS
EST,1999,No ETS
EST,2000,No ETS
EST,2001,No ETS
EST,2002,No ETS
EST,2003,No ETS
EST,2004,No ETS
EST,2005,Has an ETS
EST,2006,Has an ETS
EST,2007,Has an ETS
EST,2008,Has an ETS
EST,2009,Has an ETS
EST,2010,Has an ETS
EST,2011,Has an ETS
EST,2012,Has an ETS
EST,2013,Has an ETS
EST,2014,Has an ETS
EST,2015,Has an ETS
EST,2016,Has an ETS
EST,2017,Has an ETS
EST,2018,Has an ETS
EST,2019,Has an ETS
EST,2020,Has an ETS
EST,2021,Has an ETS
EST,2022,Has an ETS
SWZ,1989,No ETS
SWZ,1990,No ETS
SWZ,1991,No ETS
SWZ,1992,No ETS
SWZ,1993,No ETS
SWZ,1994,No ETS
SWZ,1995,No ETS
SWZ,1996,No ETS
SWZ,1997,No ETS
SWZ,1998,No ETS
SWZ,1999,No ETS
SWZ,2000,No ETS
SWZ,2001,No ETS
SWZ,2002,No ETS
SWZ,2003,No ETS
SWZ,2004,No ETS
SWZ,2005,No ETS
SWZ,2006,No ETS
SWZ,2007,No ETS
SWZ,2008,No ETS
SWZ,2009,No ETS
SWZ,2010,No ETS
SWZ,2011,No ETS
SWZ,2012,No ETS
SWZ,2013,No ETS
SWZ,2014,No ETS
SWZ,2015,No ETS
SWZ,2016,No ETS
SWZ,2017,No ETS
SWZ,2018,No ETS
SWZ,2019,No ETS
SWZ,2020,No ETS
SWZ,2021,No ETS
SWZ,2022,No ETS
ETH,1989,No ETS
ETH,1990,No ETS
ETH,1991,No ETS
ETH,1992,No ETS
ETH,1993,No ETS
ETH,1994,No ETS
ETH,1995,No ETS
ETH,1996,No ETS
ETH,1997,No ETS
ETH,1998,No ETS
ETH,1999,No ETS
ETH,2000,No ETS
ETH,2001,No ETS
ETH,2002,No ETS
ETH,2003,No ETS
ETH,2004,No ETS
ETH,2005,No ETS
ETH,2006,No ETS
ETH,2007,No ETS
ETH,2008,No ETS
ETH,2009,No ETS
ETH,2010,No ETS
ETH,2011,No ETS
ETH,2012,No ETS
ETH,2013,No ETS
ETH,2014,No ETS
ETH,2015,No ETS
ETH,2016,No ETS
ETH,2017,No ETS
ETH,2018,No ETS
ETH,2019,No ETS
ETH,2020,No ETS
ETH,2021,No ETS
ETH,2022,No ETS
FJI,1989,No ETS
FJI,1990,No ETS
FJI,1991,No ETS
FJI,1992,No ETS
FJI,1993,No ETS
FJI,1994,No ETS
FJI,1995,No ETS
FJI,1996,No ETS
FJI,1997,No ETS
FJI,1998,No ETS
FJI,1999,No ETS
FJI,2000,No ETS
FJI,2001,No ETS
FJI,2002,No ETS
FJI,2003,No ETS
FJI,2004,No ETS
FJI,2005,No ETS
FJI,2006,No ETS
FJI,2007,No ETS
FJI,2008,No ETS
FJI,2009,No ETS
FJI,2010,No ETS
FJI,2011,No ETS
FJI,2012,No ETS
FJI,2013,No ETS
FJI,2014,No ETS
FJI,2015,No ETS
FJI,2016,No ETS
FJI,2017,No ETS
FJI,2018,No ETS
FJI,2019,No ETS
FJI,2020,No ETS
FJI,2021,No ETS
FJI,2022,No ETS
FIN,1989,No ETS
FIN,1990,No ETS
FIN,1991,No ETS
FIN,1992,No ETS
FIN,1993,No ETS
FIN,1994,No ETS
FIN,1995,No ETS
FIN,1996,No ETS
FIN,1997,No ETS
FIN,1998,No ETS
FIN,1999,No ETS
FIN,2000,No ETS
FIN,2001,No ETS
FIN,2002,No ETS
FIN,2003,No ETS
FIN,2004,No ETS
FIN,2005,Has an ETS
FIN,2006,Has an ETS
FIN,2007,Has an ETS
FIN,2008,Has an ETS
FIN,2009,Has an ETS
FIN,2010,Has an ETS
FIN,2011,Has an ETS
FIN,2012,Has an ETS
FIN,2013,Has an ETS
FIN,2014,Has an ETS
FIN,2015,Has an ETS
FIN,2016,Has an ETS
FIN,2017,Has an ETS
FIN,2018,Has an ETS
FIN,2019,Has an ETS
FIN,2020,Has an ETS
FIN,2021,Has an ETS
FIN,2022,Has an ETS
FRA,1989,No ETS
FRA,1990,No ETS
FRA,1991,No ETS
FRA,1992,No ETS
FRA,1993,No ETS
FRA,1994,No ETS
FRA,1995,No ETS
FRA,1996,No ETS
FRA,1997,No ETS
FRA,1998,No ETS
FRA,1999,No ETS
FRA,2000,No ETS
FRA,2001,No ETS
FRA,2002,No ETS
FRA,2003,No ETS
FRA,2004,No ETS
FRA,2005,Has an ETS
FRA,2006,Has an ETS
FRA,2007,Has an ETS
FRA,2008,Has an ETS
FRA,2009,Has an ETS
FRA,2010,Has an ETS
FRA,2011,Has an ETS
FRA,2012,Has an ETS
FRA,2013,Has an ETS
FRA,2014,Has an ETS
FRA,2015,Has an ETS
FRA,2016,Has an ETS
FRA,2017,Has an ETS
FRA,2018,Has an ETS
FRA,2019,Has an ETS
FRA,2020,Has an ETS
FRA,2021,Has an ETS
FRA,2022,Has an ETS
GAB,1989,No ETS
GAB,1990,No ETS
GAB,1991,No ETS
GAB,1992,No ETS
GAB,1993,No ETS
GAB,1994,No ETS
GAB,1995,No ETS
GAB,1996,No ETS
GAB,1997,No ETS
GAB,1998,No ETS
GAB,1999,No ETS
GAB,2000,No ETS
GAB,2001,No ETS
GAB,2002,No ETS
GAB,2003,No ETS
GAB,2004,No ETS
GAB,2005,No ETS
GAB,2006,No ETS
GAB,2007,No ETS
GAB,2008,No ETS
GAB,2009,No ETS
GAB,2010,No ETS
GAB,2011,No ETS
GAB,2012,No ETS
GAB,2013,No ETS
GAB,2014,No ETS
GAB,2015,No ETS
GAB,2016,No ETS
GAB,2017,No ETS
GAB,2018,No ETS
GAB,2019,No ETS
GAB,2020,No ETS
GAB,2021,No ETS
GAB,2022,No ETS
GMB,1989,No ETS
GMB,1990,No ETS
GMB,1991,No ETS
GMB,1992,No ETS
GMB,1993,No ETS
GMB,1994,No ETS
GMB,1995,No ETS
GMB,1996,No ETS
GMB,1997,No ETS
GMB,1998,No ETS
GMB,1999,No ETS
GMB,2000,No ETS
GMB,2001,No ETS
GMB,2002,No ETS
GMB,2003,No ETS
GMB,2004,No ETS
GMB,2005,No ETS
GMB,2006,No ETS
GMB,2007,No ETS
GMB,2008,No ETS
GMB,2009,No ETS
GMB,2010,No ETS
GMB,2011,No ETS
GMB,2012,No ETS
GMB,2013,No ETS
GMB,2014,No ETS
GMB,2015,No ETS
GMB,2016,No ETS
GMB,2017,No ETS
GMB,2018,No ETS
GMB,2019,No ETS
GMB,2020,No ETS
GMB,2021,No ETS
GMB,2022,No ETS
GEO,1989,No ETS
GEO,1990,No ETS
GEO,1991,No ETS
GEO,1992,No ETS
GEO,1993,No ETS
GEO,1994,No ETS
GEO,1995,No ETS
GEO,1996,No ETS
GEO,1997,No ETS
GEO,1998,No ETS
GEO,1999,No ETS
GEO,2000,No ETS
GEO,2001,No ETS
GEO,2002,No ETS
GEO,2003,No ETS
GEO,2004,No ETS
GEO,2005,No ETS
GEO,2006,No ETS
GEO,2007,No ETS
GEO,2008,No ETS
GEO,2009,No ETS
GEO,2010,No ETS
GEO,2011,No ETS
GEO,2012,No ETS
GEO,2013,No ETS
GEO,2014,No ETS
GEO,2015,No ETS
GEO,2016,No ETS
GEO,2017,No ETS
GEO,2018,No ETS
GEO,2019,No ETS
GEO,2020,No ETS
GEO,2021,No ETS
GEO,2022,No ETS
DEU,1989,No ETS
DEU,1990,No ETS
DEU,1991,No ETS
DEU,1992,No ETS
DEU,1993,No ETS
DEU,1994,No ETS
DEU,1995,No ETS
DEU,1996,No ETS
DEU,1997,No ETS
DEU,1998,No ETS
DEU,1999,No ETS
DEU,2000,No ETS
DEU,2001,No ETS
DEU,2002,No ETS
DEU,2003,No ETS
DEU,2004,No ETS
DEU,2005,Has an ETS
DEU,2006,Has an ETS
DEU,2007,Has an ETS
DEU,2008,Has an ETS
DEU,2009,Has an ETS
DEU,2010,Has an ETS
DEU,2011,Has an ETS
DEU,2012,Has an ETS
DEU,2013,Has an ETS
DEU,2014,Has an ETS
DEU,2015,Has an ETS
DEU,2016,Has an ETS
DEU,2017,Has an ETS
DEU,2018,Has an ETS
DEU,2019,Has an ETS
DEU,2020,Has an ETS
DEU,2021,Has an ETS
DEU,2022,Has an ETS
GHA,1989,No ETS
GHA,1990,No ETS
GHA,1991,No ETS
GHA,1992,No ETS
GHA,1993,No ETS
GHA,1994,No ETS
GHA,1995,No ETS
GHA,1996,No ETS
GHA,1997,No ETS
GHA,1998,No ETS
GHA,1999,No ETS
GHA,2000,No ETS
GHA,2001,No ETS
GHA,2002,No ETS
GHA,2003,No ETS
GHA,2004,No ETS
GHA,2005,No ETS
GHA,2006,No ETS
GHA,2007,No ETS
GHA,2008,No ETS
GHA,2009,No ETS
GHA,2010,No ETS
GHA,2011,No ETS
GHA,2012,No ETS
GHA,2013,No ETS
GHA,2014,No ETS
GHA,2015,No ETS
GHA,2016,No ETS
GHA,2017,No ETS
GHA,2018,No ETS
GHA,2019,No ETS
GHA,2020,No ETS
GHA,2021,No ETS
GHA,2022,No ETS
GRC,1989,No ETS
GRC,1990,No ETS
GRC,1991,No ETS
GRC,1992,No ETS
GRC,1993,No ETS
